Date,Date,Open,High,Low,Close,Volume,K,D,Signal
2009-02-01,2009-02-01,23.26,27.28,23.19,27.21,1440576063.0,15.724310952146425,13.182211108999264,
2009-03-01,2009-03-01,26.78,31.81,25.49,29.94,2153154646.0,39.13223151048087,21.83167542292613,
2009-04-01,2009-04-01,30.17,37.32,29.7,37.32,2049357762.0,69.72613902746532,41.52756049669759,
2009-05-01,2009-05-01,37.32,48.01,37.32,48.01,1688708562.0,93.9895470383275,67.61597252542462,-1.0
2009-06-01,2009-06-01,50.35,52.97,42.73,45.56,1650144742.0,91.70584284754868,85.14050963778055,-1.0
2009-07-01,2009-07-01,45.86,52.67,45.86,51.31,1354885964.0,89.6922572095089,91.79588236512842,-1.0
2009-08-01,2009-08-01,51.31,52.44,46.76,50.4,852716377.0,86.01083620965214,89.13631208890331,
2009-09-01,2009-09-01,51.99,59.93,51.76,58.57,1231325186.0,92.29998083077511,89.33435808331211,-1.0
2009-10-01,2009-10-01,59.02,62.88,56.53,59.02,1013851552.0,87.92812395434014,88.74631366492252,
2009-11-01,2009-11-01,58.12,63.34,58.12,61.75,699749884.0,88.57750834092457,89.60187104201333,-1.0
2009-12-01,2009-12-01,61.52,68.79,61.07,68.79,704171307.0,90.58252087225289,89.02938438917259,-1.0
2010-01-01,2010-01-01,68.79,70.6,59.7,61.07,939258134.0,80.10667534709567,86.42223485342443,
2010-02-01,2010-02-01,60.39,62.66,57.21,57.66,558916859.0,52.48246936382688,74.39055519439187,
2010-03-01,2010-03-01,59.25,63.56,58.34,62.43,733502970.0,32.14390824856674,54.91101765316315,
2010-04-01,2010-04-01,62.88,70.15,61.97,67.42,950266958.0,41.088840799027714,41.905072803807165,
2010-05-01,2010-05-01,67.65,67.65,55.62,56.53,879877440.0,40.43667218061557,37.88980707607006,
2010-06-01,2010-06-01,55.85,57.43,49.94,51.76,1384149749.0,30.44371424590044,37.323075741847966,
2010-07-01,2010-07-01,51.76,59.7,50.62,58.57,873283868.0,19.260614020078872,30.047000148865013,
2010-08-01,2010-08-01,59.02,62.43,57.46,57.46,955257807.0,29.638792676892603,26.44770698095736,
2010-09-01,2010-09-01,56.44,61.34,54.64,60.56,942572109.0,46.62568533876321,31.84169734524495,
2010-10-01,2010-10-01,60.05,62.63,57.21,59.79,680868190.0,58.26519884204052,44.84322561923216,
2010-11-01,2010-11-01,60.82,61.08,55.92,55.92,714473236.0,60.572061985803145,55.15431538886901,
2010-12-01,2010-12-01,56.18,61.08,56.18,60.56,715777659.0,65.2808936304785,61.3727181527741,
2011-01-01,2011-01-01,60.82,64.94,57.99,64.43,754019120.0,71.09035040530061,65.6477686738608,
2011-02-01,2011-02-01,64.43,68.81,56.18,56.18,603111160.0,57.05274231773802,64.47466211783909,
2011-03-01,2011-03-01,56.7,62.11,51.49,53.09,935291035.0,35.434495490728516,54.52586273792243,
2011-04-01,2011-04-01,53.61,68.42,53.09,55.92,586550377.0,12.277436662802595,34.921558157089756,1.0
2011-05-01,2011-05-01,55.92,56.96,50.36,51.8,627625197.0,14.206706847668913,20.63954633373339,1.0
2011-06-01,2011-06-01,52.32,53.09,48.91,50.77,685949514.0,14.242992974221622,13.575712161564423,1.0
2011-07-01,2011-07-01,50.98,51.29,45.46,46.66,838500116.0,7.459364184453018,11.969688002114564,2.0
2011-08-01,2011-08-01,47.52,49.07,35.3,42.07,1735181433.0,11.671345253539078,11.124567470737952,1.0
2011-09-01,2011-09-01,43.74,44.48,38.23,39.72,1492386436.0,15.357860315769273,11.496189917920503,
2011-10-01,2011-10-01,39.32,48.27,38.23,47.81,1296418891.0,37.0558349442749,21.361680171194465,
2011-11-01,2011-11-01,48.21,49.94,41.96,45.75,1208759544.0,52.02667647264559,34.813457244229966,
2011-12-01,2011-12-01,48.16,48.21,44.37,47.58,731814772.0,73.18451066122316,54.08900735938126,
2012-01-01,2012-01-01,47.35,55.5,46.72,54.7,1297132650.0,81.53360563237375,68.91493092208088,
2012-02-01,2012-02-01,54.81,59.98,53.67,58.83,1169035851.0,91.32003824471049,82.01271817943585,-1.0
2012-03-01,2012-03-01,58.83,67.15,56.25,65.72,1064887475.0,94.80115913938998,89.21826767215812,-1.0
2012-04-01,2012-04-01,65.43,66.29,53.03,53.03,954425480.0,75.68386370640808,87.26835369683624,
2012-05-01,2012-05-01,53.03,53.03,47.52,50.22,1484214545.0,49.823538851703745,73.43618723250067,
2012-06-01,2012-06-01,49.99,51.54,46.43,51.31,683980548.0,26.23319866747711,50.58020040852971,
2012-07-01,2012-07-01,51.54,53.09,46.03,48.56,801335927.0,17.554319777612708,31.20368576559792,
2012-08-01,2012-08-01,48.79,55.69,45.34,53.54,1029011689.0,24.890700558212462,22.89273966776749,
2012-09-01,2012-09-01,58.14,63.07,56.53,58.97,1046278571.0,42.6651102107947,28.370043515540022,
2012-10-01,2012-10-01,58.97,59.42,53.52,56.85,916325894.0,60.31146055860444,42.6224237758706,
2012-11-01,2012-11-01,56.85,60.51,55.83,59.74,936151713.0,74.3372814438804,59.104617404426584,
2012-12-01,2012-12-01,60.06,61.92,55.44,56.98,1129187051.0,70.59597668734722,68.4149062299441,
2013-01-01,2013-01-01,56.98,57.62,52.69,54.1,1013471943.0,53.48450912694918,66.13925575272567,
2013-02-01,2013-02-01,54.16,54.55,52.37,52.37,385339837.0,26.41175108972413,50.16407896800691,
2013-03-01,2013-03-01,52.37,54.03,51.09,53.39,829839526.0,11.607039604893965,30.501099940522494,1.0
2013-04-01,2013-04-01,53.39,53.52,48.39,48.84,921819661.0,8.18774871203758,15.402179802218628,2.0
2013-05-01,2013-05-01,48.84,52.56,48.59,49.16,1268842038.0,10.96853599986711,10.254441438932956,1.0
2013-06-01,2013-06-01,49.16,49.42,44.1,47.43,936107319.0,14.511444307318362,11.222576339741089,1.0
2013-07-01,2013-07-01,47.43,51.02,46.47,49.87,815699855.0,32.77171260074558,19.41723096931042,
2013-08-01,2013-08-01,49.61,52.17,48.71,52.05,682702049.0,58.12256013244894,35.13523901350437,
2013-09-01,2013-09-01,52.05,54.92,51.85,53.51,862086387.0,76.49007613300317,55.794782955399306,
2013-10-01,2013-10-01,54.72,55.15,52.35,53.5,589459359.0,85.47711815718758,73.3632514742133,
2013-11-01,2013-11-01,53.85,56.3,52.63,56.01,625963716.0,89.69543247295479,83.88754225438191,-1.0
