Date,Date,Open,High,Low,Close,Volume,K_BUY,D_BUY,K_SELL,D_SELL,Signal_Buy,Signal_Sell,Signal
2006-12-01,2006-12-01,64.77,65.59,61.19,63.94,493083304.0,80.89887640449437,87.08020742296857,89.21822751547477,89.41350307387889,,-1.0,-1
2007-01-01,2007-01-01,63.94,69.86,53.17,61.88,654992204.0,52.186938286399055,74.76705550108672,88.68502647633191,89.09125710080953,,-1.0,-1
2007-02-01,2007-02-01,62.43,64.77,60.23,63.26,376850704.0,60.455362492510474,64.51372572780129,88.79287748312629,88.8987104916444,,-1.0,-1
2007-03-01,2007-03-01,60.51,62.02,54.59,61.06,696830067.0,47.27381665668066,53.30537247853005,88.82189461982551,88.76659952642797,,-1.0,-1
2007-04-01,2007-04-01,59.96,62.71,59.41,60.92,493017204.0,46.434991012582394,51.38805672059117,88.07499519970249,88.56325576755148,,-1.0,-1
2007-05-01,2007-05-01,60.92,68.21,60.92,64.22,521481032.0,70.70484581497799,54.80455116141368,88.65347286814067,88.51678756255627,,-1.0,-1
2007-06-01,2007-06-01,66.42,82.51,66.01,78.11,689135092.0,84.24068767908308,67.12684150221448,89.75656772850681,88.82834526545004,,-1.0,-1
2007-07-01,2007-07-01,78.11,82.37,63.03,74.81,680369228.0,66.66666666666666,73.87073338690924,90.72724112393367,89.71242724019378,,-1.0,-1
2007-08-01,2007-08-01,73.43,83.17,67.11,80.86,1121468965.0,89.61797752808988,80.1751106246132,91.01952097226588,90.50110994156883,,-1.0,-1
2007-09-01,2007-09-01,81.58,83.08,76.25,81.91,622955341.0,93.74379344587882,83.34281254687843,91.3415262028077,91.02942943300246,,-1.0,-1
2007-10-01,2007-10-01,82.25,86.07,77.58,81.91,769571230.0,81.94444444444446,88.43540513947103,91.23542692603017,91.19882470036798,,-1.0,-1
2007-11-01,2007-11-01,82.25,82.74,63.1,68.59,1147554689.0,23.90074009577712,66.5296593287001,89.42491084587698,90.66728799157168,,-1.0,-1
2007-12-01,2007-12-01,68.76,70.09,56.27,65.26,974262627.0,30.16778523489935,45.33765659170695,87.33713565980139,89.33249114390291,,,0
2008-01-01,2008-01-01,65.26,67.26,52.61,56.44,1334540858.0,11.446503287507468,21.83834287272796,84.8963992648252,87.21948192350125,1.0,,1
2008-02-01,2008-02-01,57.6,64.6,54.28,62.6,563388426.0,33.15632260205776,24.923537041488174,83.00392836352894,85.07915442938524,,,0
2008-03-01,2008-03-01,60.27,63.43,54.94,57.94,912830929.0,30.491990846681905,25.031605578749026,80.86591753368667,82.92208172068034,,,0
2008-04-01,2008-04-01,57.27,63.6,56.77,58.77,1046115880.0,42.047781569965885,35.23203167290183,78.84949100578811,80.90644563433463,,,0
2008-05-01,2008-05-01,58.77,61.27,53.11,57.27,1611864874.0,36.20539599651876,36.248389471055496,76.16732000064135,78.62757618003876,,,0
2008-06-01,2008-06-01,59.27,61.27,49.11,49.78,945764522.0,4.623878536922026,27.625685367802205,72.2840061890159,75.7669390651485,2.0,,2
2008-07-01,2008-07-01,49.95,51.28,44.12,49.78,1122125108.0,29.05544147843944,23.29490533729339,68.81433799452162,72.421888061393,,,0
2008-08-01,2008-08-01,49.28,59.1,48.78,53.28,1103862897.0,53.411078717201164,29.030132910854192,65.1094015844819,68.73591525600652,,,0
2008-09-01,2008-09-01,49.61,50.95,42.31,42.89,1563259562.0,3.0590717299577967,28.508530641866116,59.94825407084991,64.62399788328453,2.0,,2
2008-10-01,2008-10-01,45.08,45.08,25.57,31.23,1416038157.0,16.88040560691918,24.450185351359362,53.47569823318026,59.5111179628374,,,0
2008-11-01,2008-11-01,31.34,32.01,20.53,25.14,89071590098.0,11.952294529427014,10.63059062210131,47.8575280498026,53.76049345127763,1.0,,1
2008-12-01,2008-12-01,25.14,27.24,22.64,25.06,54854840419.0,14.891518737672575,14.574739624672903,42.63476912404499,47.98933180234266,1.0,,1
2009-01-01,2009-01-01,25.06,28.3,22.8,23.03,24862919877.0,10.183299389002038,12.342370885367188,38.22814540000435,42.906814191284035,1.0,,1
2009-02-01,2009-02-01,23.26,27.28,23.19,27.21,1440576063.0,58.18815331010454,27.754323812259695,33.60273576971073,38.15521676458675,,,0
2009-03-01,2009-03-01,26.78,31.81,25.49,29.94,2153154646.0,79.60741548527811,49.32628939479488,29.89201523874739,33.90763213615421,,,0
2009-04-01,2009-04-01,30.17,37.32,29.7,37.32,2049357762.0,100.0,79.26518959846086,27.018561663444626,30.171104223967635,,,0
2009-05-01,2009-05-01,37.32,48.01,37.32,48.01,1688708562.0,100.0,93.20247182842603,25.687024038590135,27.532533646927437,,,0
2009-06-01,2009-06-01,50.35,52.97,42.73,45.56,1650144742.0,73.03493449781661,91.01164483260551,24.956229441527963,25.887271714520963,,,0
2009-07-01,2009-07-01,45.86,52.67,45.86,51.31,1354885964.0,92.86635152556941,88.63376200779533,24.956540530560797,25.19993133689302,,,0
2009-08-01,2009-08-01,51.31,52.44,46.76,50.4,852716377.0,83.5782747603834,83.15985359458979,24.41485758839981,24.775875853496245,,,0
2009-09-01,2009-09-01,51.99,59.93,51.76,58.57,1231325186.0,92.09302325581395,89.51254984725557,26.239669100529483,25.203689073163417,,,0
2009-10-01,2009-10-01,59.02,62.88,56.53,59.02,1013851552.0,77.32079905992951,84.33069902537561,29.779523954836666,26.811350214588703,,,0
2009-11-01,2009-11-01,58.12,63.34,58.12,61.75,699749884.0,90.41013268998792,86.60798500191044,34.43444207099983,30.151211708788708,,,0
2009-12-01,2009-12-01,61.52,68.79,61.07,68.79,704171307.0,100.0,89.24364391663913,39.99465974977107,34.736208591869236,,,0
2010-01-01,2010-01-01,68.79,70.6,59.7,61.07,939258134.0,32.26723525230989,74.22578931409925,44.831400671345676,39.753500830705576,,,0
2010-02-01,2010-02-01,60.39,62.66,57.21,57.66,558916859.0,3.3607169529499323,45.20931740175325,48.70308208727488,44.509714169463926,2.0,,2
2010-03-01,2010-03-01,59.25,63.56,58.34,62.43,733502970.0,38.984316654219576,24.870756286493116,52.834147085749095,48.789543281456595,,,0
2010-04-01,2010-04-01,62.88,70.15,61.97,67.42,950266958.0,76.25093353248697,39.53198904655214,56.66132641643773,52.73285186315395,,,0
2010-05-01,2010-05-01,67.65,67.65,55.62,56.53,879877440.0,6.262904335856869,40.499384840854454,57.74463432000807,55.74670260739834,2.0,,2
2010-06-01,2010-06-01,55.85,57.43,49.94,51.76,1384149749.0,9.005442850074218,30.506426906139335,58.53295697284094,57.64630590309562,2.0,,2
2010-07-01,2010-07-01,51.76,59.7,50.62,58.57,873283868.0,42.70163285502226,19.323326680317766,59.45605736954525,58.577882887464796,,,0
2010-08-01,2010-08-01,59.02,62.43,57.46,57.46,955257807.0,42.46188594014681,31.389653881747744,60.353728003254936,59.44758078188042,,,0
2010-09-01,2010-09-01,56.44,61.34,54.64,60.56,942572109.0,85.02802241793437,56.73051373770113,60.6067541450513,60.13884650595054,,,0
2010-10-01,2010-10-01,60.05,62.63,57.21,59.79,680868190.0,76.35303913405494,67.94764916404536,60.70465873258053,60.555046960295634,,,0
2010-11-01,2010-11-01,60.82,61.08,55.92,55.92,714473236.0,16.02002503128912,59.133695527759464,59.96338114128769,60.42493133963989,,,0
2010-12-01,2010-12-01,56.18,61.08,56.18,60.56,715777659.0,74.09261576971214,55.48855997835205,58.91694639405953,59.8616620893093,,,0
2011-01-01,2011-01-01,60.82,64.94,57.99,64.43,754019120.0,94.34589800443469,61.486179601811976,59.34416641236896,59.40816464923878,,,0
2011-02-01,2011-02-01,64.43,68.81,56.18,56.18,603111160.0,2.0170674941815205,56.818527089442775,59.155986166208855,59.139032990879166,2.0,,2
2011-03-01,2011-03-01,56.7,62.11,51.49,53.09,935291035.0,9.237875288683611,35.20028026243327,57.968416234360625,58.822856270979536,2.0,,2
2011-04-01,2011-04-01,53.61,68.42,53.09,55.92,586550377.0,25.577367205542725,12.277436662802614,56.50620486217061,57.87686908758008,,,0
2011-05-01,2011-05-01,55.92,56.96,50.36,51.8,627625197.0,7.804878048780474,14.206706847668933,55.90479096734811,56.7931373546265,2.0,,2
2011-06-01,2011-06-01,52.32,53.09,48.91,50.77,685949514.0,9.533572526909309,14.305272593744165,55.7789136405248,56.06330315668122,2.0,,2
2011-07-01,2011-07-01,50.98,51.29,45.46,46.66,838500116.0,5.226480836236915,7.521643803975562,54.264571254195836,55.31609195402296,2.0,,2
2011-08-01,2011-08-01,47.52,49.07,35.3,42.07,1735181433.0,31.255771006463537,15.33860812320325,52.307750991760685,54.11707862882715,,,0
2011-09-01,2011-09-01,43.74,44.48,38.23,39.72,1492386436.0,24.84541877459247,20.44255687243097,49.657969687722435,52.07676397789303,,,0
2011-10-01,2011-10-01,39.32,48.27,38.23,47.81,1296418891.0,78.23639774859289,44.77919584321629,48.13472688434536,50.033482521276206,,,0
2011-11-01,2011-11-01,48.21,49.94,41.96,45.75,1208759544.0,71.37978142076504,58.15386598131679,46.841623436069504,48.211440002712486,,,0
2011-12-01,2011-12-01,48.16,48.21,44.37,47.58,731814772.0,79.84628522630231,76.48748813188674,45.375335984765194,46.78389543506007,,,0
2012-01-01,2012-01-01,47.35,55.5,46.72,54.7,1297132650.0,95.36768963520558,82.19791876075764,45.480541154043316,45.89916685829272,,,0
2012-02-01,2012-02-01,54.81,59.98,53.67,58.83,1169035851.0,93.61820199778025,89.61072561976272,47.3220950607629,46.05932406652386,,,0
2012-03-01,2012-03-01,58.83,67.15,56.25,65.72,1064887475.0,93.72256365232657,94.23615176177081,50.70326672000257,47.83530097826965,,,0
2012-04-01,2012-04-01,65.43,66.29,53.03,53.03,954425480.0,30.885952031326482,72.74223922714445,51.61256409326396,49.879308624676526,,,0
2012-05-01,2012-05-01,53.03,53.03,47.52,50.22,1484214545.0,13.75445746306671,46.1209910489066,52.57803600089762,51.63128893805476,1.0,,1
2012-06-01,2012-06-01,49.99,51.54,46.43,51.31,683980548.0,23.552123552123557,22.730844348838932,53.85588387685572,52.68216132367248,,,0
2012-07-01,2012-07-01,51.54,53.09,46.03,48.56,801335927.0,12.48766041461007,16.598080476600128,55.19862081860894,53.87751356545414,1.0,,1
2012-08-01,2012-08-01,48.79,55.69,45.34,53.54,1029011689.0,79.22705314009663,38.4222790356101,57.953810445614096,55.66943838035963,,,0
2012-09-01,2012-09-01,58.14,63.07,56.53,58.97,1046278571.0,76.87535250987027,56.19668868819233,61.91153455912606,58.35465527444975,,,0
2012-10-01,2012-10-01,58.97,59.42,53.52,56.85,916325894.0,64.91821771009589,73.67354112002094,64.48778540127428,61.451043468671536,,,0
